id,is_callcenter
78446,0.8710088369190286
78447,0.8438000346147694
78448,0.1371493329537205
78449,0.06266182269365944
78450,0.012063038449793728
78451,0.16372229321822668
78452,0.013641953571432499
78453,0.9458723890910663
78454,0.5109999777951261
78455,0.7913595240678711
78456,0.6306169720816911
78457,0.40156014652295824
78458,0.028975304916661622
78459,0.5390531407067292
78460,0.00044753485420877856
78461,0.6260693861413262
78462,0.014975843227633616
78463,0.013038975174287556
78464,0.23186023422138763
78465,0.030653632298656083
78466,0.4658252772101285
78467,0.7906387031184301
78468,0.3095849273901633
78469,0.028759386249677686
78470,0.0126454777087829
78471,0.6095305852033525
78472,0.7616347362025433
78473,0.9145425689989518
78474,0.0015717142188284964
78475,0.42795597132745267
78476,0.03308798067209645
78477,0.053027489492727946
78478,0.11574245773510727
78479,0.3023127506900812
78480,0.1066813406668464
78481,0.028455963799520843
78482,0.8351731040123626
78483,0.17821644096064038
78484,0.45094205242676927
78485,0.007006761371339766
78486,0.2744857822303903
78487,0.007133803573311239
78488,0.0037173875419579177
78489,0.6965464851966721
78490,0.8992742467176136
78491,0.014572371327314778
78492,0.029353489912852866
78493,0.8901998037351034
78494,0.5337015829895596
78495,0.2979854889676015
78496,0.15141944452766107
78497,0.49174522988968844
78498,0.7591706327549648
78499,0.020109871680926962
78500,0.021828864615965067
78501,0.04660006649993047
78502,0.2957291966846902
78503,0.1684922209209026
78504,0.5332984195159265
78505,0.2103544197479735
78506,0.03798422888037905
78507,0.928227243996883
78508,0.01222435615264616
78509,0.012328645137178086
78510,0.1172946631941185
78511,0.00447268466972116
78512,0.7029014779363387
78513,0.573829673940797
78514,0.0014301039140687736
78515,0.6046788153909544
78516,0.6250369795646965
78517,0.009276413408325055
78518,0.16770325191800264
78519,0.006306547328611943
78520,0.023721203250666623
78521,0.6960791486654242
78522,0.9036853660702727
78523,0.016169581286042577
78524,0.13626513624800582
78525,0.162113513622603
78526,0.024777615324576934
78527,0.6036692525537665
78528,0.870672816309251
78529,0.008808392800076593
78530,0.8141118899631792
78531,0.9116992204862762
78532,0.707122324119243
78533,0.018713181264991385
78534,0.07732658545946036
78535,0.10045455738808735
78536,0.02268477276500965
78537,0.0297304451067379
78538,0.06390784963664363
78539,0.050638477501262706
78540,0.16233502670897124
78541,0.016543790813811105
78542,0.17883246126418237
78543,0.15186441901237063
78544,0.801009861152916
78545,0.3652426855657347
78546,0.010398749310071896
78547,0.9518316080701896
78548,0.03139596109020103
78549,0.011328708625079542
78550,0.004392547430890863
78551,0.7644135902282705
78552,0.70957057515993
78553,0.3815126024848063
78554,0.767458347379962
78555,0.12849309837384815
78556,0.0008530071366360152
78557,0.8453890223138915
78558,0.011012137949762761
78559,0.18547177518720798
78560,0.17296037549818027
78561,0.01908916392059531
78562,0.023702740740294083
78563,0.061773061930380055
78564,0.017614122711138422
78565,0.010403995124315637
78566,0.30831634286821064
78567,0.09210278579765901
78568,0.05973193428957752
78569,0.11168396794380595
78570,0.751938740758639
78571,0.6668536230039505
78572,0.722785587005237
78573,0.1105692527766872
78574,0.0030831583759191174
78575,0.027913467412496607
78576,0.014113303194534335
78577,0.08383731809718603
78578,0.009862286982014993
78579,0.009987901358177962
78580,0.6572573060556797
78581,0.15504854854291514
78582,0.03058132943224709
78583,0.03910026790895785
78584,0.052902237203129754
78585,0.006319825534342591
78586,0.07702320719128061
78587,0.006465232115036608
78588,0.49633541975061063
78589,0.37814783027364623
78590,0.1350259210592157
78591,0.9175675465278839
78592,0.850645597857001
78593,0.05420655290434373
78594,0.7354870807009709
78595,0.0027696810271511025
78596,0.15099749200864246
78597,0.01715626770638345
78598,0.011493063210186838
78599,0.9162431321021081
78600,0.6771251022918886
78601,0.04103236878277946
